store,websites,attribute_set,type,category_ids,sku,has_options,name,url_key,url_path,options_container,msrp_enabled,msrp_display_actual_price_type,kitnekaa_product_code,price_currency,manufacturer_product_code,condition,minimum_order_quantity,minimum_order_unit,brand,chu_machine,chu_use_with_collet,status,visibility,tax_class_id,country_of_origin,kitnekaa_manufacturer,chu_rotation,price,special_price,weight,description,short_description,special_from_date,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Chucks,simple,157,183.200.01,0,ISO30 chucks,183-200-01,183-200-01.html,Product Info Column,Use config,Use config,,INR,183.200.01,New,1,Piece(s),CMT,Biesse,ER32,Enabled,"Catalog, Search",None,Italy,CMT Utensili,RH,15329.1,15329.1,0.85,ISO30 Chucks For ER32 Precision Collets,ISO30 Chucks For ER32 Precision Collets,9/14/2015 0:00,100,0,1,0,0,1,1,1,0,1,1,,0,0,0,1,0,1,0,1,0,1,0,1,ISO30 chucks,0,simple,,
admin,base,Chucks,simple,157,183.201.01,0,ISO30 chucks,183-201-01,183-201-01.html,Product Info Column,Use config,Use config,,INR,183.201.01,New,1,Piece(s),CMT,Biesse,ER40,Enabled,"Catalog, Search",None,Italy,CMT Utensili,RH,21090,21090,0.9,ISO30 Chucks For ER40 Precision Collets,ISO30 Chucks For ER40 Precision Collets,9/14/2015 0:00,100,0,1,0,0,1,1,1,0,1,1,,0,0,0,1,0,1,0,1,0,1,0,1,ISO30 chucks,0,simple,,
