store,websites,attribute_set,type,category_ids,sku,has_options,name,meta_title,meta_description,url_key,url_path,custom_design,page_layout,options_container,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,gift_message_available,kitnekaa_product_code,manufacturer_product_code,country_of_origin,condition,minimum_order_quantity,minimum_order_unit,brand,tools_construction,tools_tip_material,kitnekaa_manufacturer,seller,dbb_angle_in_degrees,dbb_cutting_depth_in_mm,dbb_height_of_cut_in_mm,dbb_inner_diameter_in_mm,dbb_radius_in_mm,dbb_diameter_in_mm,dbb_material_to_cut,dbb_coating,dbb_machine,price,special_price,weight,msrp,status,is_recurring,visibility,tax_class_id,dbb_rotation,dbb_length_in_mm,dbb_diameter_of_shank_in_mm,dbb_no_of_edges,description,short_description,meta_keyword,custom_layout_update,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Drill & Boring Bits,simple,94,308.080.11,0,4 Flute Dowel Drills,,,308-080-11,308-080-11.html,,No layout updates,Product Info Column, ,Use config,Use config,No,277,308.080.11,Italy,New,1,Piece(s),CMT Utensili,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,,,30,,,8,"Composite , Laminated Panels , Plastic , Solidwood",PTFE Coated,Boring Machine,2142.3,2142.3,0.02,,Enabled,No,"Catalog, Search",None,RH,57.5,10x20,2,1. Super-strength Steel.</br> 2. Cutter Portion Coated With Black Or Oange P.T.F.E.</br> 3. HW Head With Precision Balanced Centre Point.</br>  4. 2 HW Precision Ground Cutting Edges [Z2].</br>  5. Negatively Ground Spurs [V2].</br> 6. 4 Spiral Flutes.</b,"Dowel Drill HW D=8X57,5 S=10X20 RH",,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,4 Flute Dowel Drills,0,simple,,
admin,base,Drill & Boring Bits,simple,94,308.080.12,0,4 Flute Dowel Drills,,,308-080-12,308-080-12.html,,,Product Info Column,,Use config,Use config,,,308.080.12,Italy,New,1,Piece(s),CMT Utensili,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,,,30,,,8,"Composite , Laminated Panels , Plastic , Solidwood",PTFE Coated,Boring Machine,2142.3,2142.3,0.02,,Enabled,,"Catalog, Search",None,LH,57.5,,2,1. Super-strength Steel.</br> 2. Cutter Portion Coated With Black Or Oange P.T.F.E.</br> 3. HW Head With Precision Balanced Centre Point.</br>  4. 2 HW Precision Ground Cutting Edges [Z2].</br>  5. Negatively Ground Spurs [V2].</br> 6. 4 Spiral Flutes.</b,"Dowel Drill HW D=8X57,5 S=10X20 LH",,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,4 Flute Dowel Drills,0,simple,,
admin,base,Drill & Boring Bits,simple,94,309.090.12,0,4 Flute Dowel Drills,,,309-090-12,309-090-12.html,,,Product Info Column,,Use config,Use config,,,309.090.12,Italy,New,1,Piece(s),CMT Utensili,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,,,43,,,9,"Composite , Laminated Panels , Plastic , Solidwood",PTFE Coated,Boring Machine,2508.6,2508.6,0.03,,Enabled,,"Catalog, Search",None,LH,70,,2,1. Super-strength Steel.</br> 2. Cutter Portion Coated With Black Or Oange P.T.F.E.</br> 3. HW Head With Precision Balanced Centre Point.</br>  4. 2 HW Precision Ground Cutting Edges [Z2].</br>  5. Negatively Ground Spurs [V2].</br> 6. 4 Spiral Flutes.</b,Dowel Drill HW D= 9 X43X70 S=10X20 LH,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,4 Flute Dowel Drills,0,simple,,
admin,base,Drill & Boring Bits,simple,94,309.100.11,0,4 Flute Dowel Drills,,,309-100-11,309-100-11.html,,,Product Info Column,,Use config,Use config,,,309.100.11,Italy,New,1,Piece(s),CMT Utensili,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,,,43,,,10,"Composite , Laminated Panels , Plastic , Solidwood",PTFE Coated,Boring Machine,2508.6,2508.6,0.03,,Enabled,,"Catalog, Search",None,RH,70,,2,1. Super-strength Steel.</br> 2. Cutter Portion Coated With Black Or Oange P.T.F.E.</br> 3. HW Head With Precision Balanced Centre Point.</br>  4. 2 HW Precision Ground Cutting Edges [Z2].</br>  5. Negatively Ground Spurs [V2].</br> 6. 4 Spiral Flutes.</b,Dowel Drill HW D=10 X43X70 S=10X20 RH,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,4 Flute Dowel Drills,0,simple,,
admin,base,Drill & Boring Bits,simple,94,310.080.11,0,2 Flute Dowel Drills,,,310-080-11,310-080-11.html,,,Product Info Column,,Use config,Use config,,,310.080.11,Italy,New,1,Piece(s),CMT Utensili,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,,,27,,,8,"Composite , Laminated Panels , Plastic , Solidwood",PTFE Coated,Boring Machine,2142.3,2142.3,0.02,,Enabled,,"Catalog, Search",None,RH,57.5,,2,1. Super-strength Steel.</br> 2. Cutter Portion Coated With Black Or Oange P.T.F.E.</br> 3. HW Head With Precision Balanced Centre Point.</br>  4. 2 HW Precision Ground Cutting Edges [Z2].</br>  5. Negatively Ground Spurs [V2].</br> 6. 4 Spiral Flutes.</b,"Dowel Drill HW D=8X57,5 S=10X27 RH",,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,2 Flute Dowel Drills,0,simple,,
admin,base,Drill & Boring Bits,simple,94,310.080.12,0,2 Flute Dowel Drills,,,310-080-12,310-080-12.html,,,Product Info Column,,Use config,Use config,,,310.080.12,Italy,New,1,Piece(s),CMT Utensili,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,,,27,,,8,"Composite , Laminated Panels , Plastic , Solidwood",PTFE Coated,Boring Machine,2142.3,2142.3,0.02,,Enabled,,"Catalog, Search",None,LH,57.5,,2,1. Super-strength Steel.</br> 2. Cutter Portion Coated With Black Or Oange P.T.F.E.</br> 3. HW Head With Precision Balanced Centre Point.</br>  4. 2 HW Precision Ground Cutting Edges [Z2].</br>  5. Negatively Ground Spurs [V2].</br> 6. 4 Spiral Flutes.</b,"Dowel Drill HW D=8X57,5 S=10X27 LH",,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,2 Flute Dowel Drills,0,simple,,
admin,base,Drill & Boring Bits,simple,94,311.050.12,0,2 Flute Dowel Drills,,,311-050-12,311-050-12.html,,,Product Info Column,,Use config,Use config,,,311.050.12,Italy,New,1,Piece(s),CMT Utensili,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,,,35,,,5,"Composite , Laminated Panels , Plastic , Solidwood",PTFE Coated,Boring Machine,2020.2,2020.2,0.03,,Enabled,,"Catalog, Search",None,LH,70,,2,1. Super-strength Steel.</br> 2. Cutter Portion Coated With Black Or Oange P.T.F.E.</br> 3. HW Head With Precision Balanced Centre Point.</br>  4. 2 HW Precision Ground Cutting Edges [Z2].</br>  5. Negatively Ground Spurs [V2].</br> 6. 4 Spiral Flutes.</b,Dowel Drill HW D=5X70 S=10X30 LH,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,2 Flute Dowel Drills,0,simple,,
admin,base,Drill & Boring Bits,simple,94,311.060.11,0,2 Flute Dowel Drills,,,311-060-11,311-060-11.html,,,Product Info Column,,Use config,Use config,,,311.060.11,Italy,New,1,Piece(s),CMT Utensili,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,,,35,,,6,"Composite , Laminated Panels , Plastic , Solidwood",PTFE Coated,Boring Machine,2120.1,2120.1,0.03,,Enabled,,"Catalog, Search",None,RH,70,,2,1. Super-strength Steel.</br> 2. Cutter Portion Coated With Black Or Oange P.T.F.E.</br> 3. HW Head With Precision Balanced Centre Point.</br>  4. 2 HW Precision Ground Cutting Edges [Z2].</br>  5. Negatively Ground Spurs [V2].</br> 6. 4 Spiral Flutes.</b,Dowel Drill HW D= 6 X35X70 S=10X30 RH,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,2 Flute Dowel Drills,0,simple,,
admin,base,Drill & Boring Bits,simple,94,311.060.12,0,2 Flute Dowel Drills,,,311-060-12,311-060-12.html,,,Product Info Column,,Use config,Use config,,,311.060.12,Italy,New,1,Piece(s),CMT Utensili,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,,,35,,,6,"Composite , Laminated Panels , Plastic , Solidwood",PTFE Coated,Boring Machine,2120.1,2120.1,0.03,,Enabled,,"Catalog, Search",None,LH,70,,2,1. Super-strength Steel.</br> 2. Cutter Portion Coated With Black Or Oange P.T.F.E.</br> 3. HW Head With Precision Balanced Centre Point.</br>  4. 2 HW Precision Ground Cutting Edges [Z2].</br>  5. Negatively Ground Spurs [V2].</br> 6. 4 Spiral Flutes.</b,Dowel Drill HW D= 6 X35X70 S=10X30 LH,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,2 Flute Dowel Drills,0,simple,,
admin,base,Drill & Boring Bits,simple,94,311.065.11,0,2 Flute Dowel Drills,,,311-065-11,311-065-11.html,,,Product Info Column,,Use config,Use config,,,311.065.11,Italy,New,1,Piece(s),CMT Utensili,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,,,35,,,6.5,"Composite , Laminated Panels , Plastic , Solidwood",PTFE Coated,Boring Machine,2508.6,2508.6,0.03,,Enabled,,"Catalog, Search",None,RH,70,,2,1. Super-strength Steel.</br> 2. Cutter Portion Coated With Black Or Oange P.T.F.E.</br> 3. HW Head With Precision Balanced Centre Point.</br>  4. 2 HW Precision Ground Cutting Edges [Z2].</br>  5. Negatively Ground Spurs [V2].</br> 6. 4 Spiral Flutes.</b,"Dowel Drill HW D= 6,5 X35X70 S=10X30 RH",,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,2 Flute Dowel Drills,0,simple,,
