store,websites,attribute_set,type,category_ids,sku,has_options,name,meta_title,meta_description,thumbnail,url_key,url_path,options_container,image_label,small_image_label,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,kitnekaa_product_code,manufacturer_product_code,tools_construction,tools_tip_material,kitnekaa_manufacturer,seller,rbi_material_to_cut,rbi_coating,rbi_machine,rbi_inner_diameter_in_mm,rbi_radius_in_mm,rbi_diameter_in_mm,rbi_height_of_cut_in_mm,rbi_cutting_depth_in_mm,rbi_angle_in_degrees,rbi_length_in_mm,rbi_diameter_of_shank_in_mm,rbi_rotation,rbi_application,price,special_price,weight,msrp,status,visibility,tax_class_id,description,short_description,meta_keyword,custom_layout_update,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,page_layout,gift_message_available,is_recurring,website,_media_image,_media_lable,_media_position,_media_is_disabled
admin,base,Router Bits,simple,101,651.080.11,0,Straight Router Bits With Insert Knives,,,,651-080-11,651-080-11.html,Product Info Column,,,Italy,Use config,Use config,,651.080.11,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Hardwood , MDF",PTFE Coated,"CNC Machine , Portable Router",,,8,20,,,60,8,RH,"Finishing, Routing, Grooving ",8325,8325,0.1,,Enabled,"Catalog, Search",None,Straight Router Bits With One Replaceable Mini Knife & Fixing Wedge,Up-Cut Spiral Bit Solid HW D= 4X15X60 Z2 RH,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Straight Router Bits With Insert Knives,0,simple,,,,,,,,,,
admin,base,Router Bits,simple,101,651.081.11,0,Straight Router Bits With Insert Knives,,,,651-081-11,651-081-11.html,Product Info Column,,,Italy,Use config,Use config,,651.081.11,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Hardwood , MDF",PTFE Coated,"CNC Machine , Portable Router",,,8,20,,,67,12,RH,"Finishing, Routing, Grooving",8913.3,8913.3,0.1,,Enabled,"Catalog, Search",None,Straight Router Bits With One Replaceable Mini Knife & Fixing Wedge,Up-Cut Spiral Bit Solid HW D= 4X15X60 Z2 RH,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Straight Router Bits With Insert Knives,0,simple,,,,,,,,,,
admin,base,Router Bits,simple,101,651.100.11,0,Straight Router Bits With Insert Knives,,,,651-100-11,651-100-11.html,Product Info Column,,,Italy,Use config,Use config,,651.100.11,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Hardwood , MDF",PTFE Coated,"CNC Machine , Portable Router",,,10,30,,,70,8,RH,"Finishing, Routing, Grooving ",8325,8325,0.1,,Enabled,"Catalog, Search",None,Straight Router Bits With One Replaceable Mini Knife & Fixing Wedge,Up-Cut Spiral Bit Solid HW D= 4X15X60 Z2 RH,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Straight Router Bits With Insert Knives,0,simple,,,,,,,,,,
admin,base,Router Bits,simple,101,651.101.11,0,Straight Router Bits With Insert Knives,,,,651-101-11,651-101-11.html,Product Info Column,,,Italy,Use config,Use config,,651.101.11,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Hardwood , MDF",PTFE Coated,"CNC Machine , Portable Router",,,10,30,,,80,12,RH,"Finishing, Routing, Grooving",8680.2,8680.2,0.1,,Enabled,"Catalog, Search",None,Straight Router Bits With One Replaceable Mini Knife & Fixing Wedge,Up-Cut Spiral Bit Solid HW D= 4X15X60 Z2 RH,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Straight Router Bits With Insert Knives,0,simple,,,,,,,,,,
admin,base,Router Bits,simple,101,651.121.11,0,Straight Router Bits With Insert Knives,,,,651-121-11,651-121-11.html,Product Info Column,,,Italy,Use config,Use config,,651.121.11,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Hardwood , MDF",PTFE Coated,"CNC Machine , Portable Router",,,12,30,,,80,12,RH,"Finishing, Routing, Grooving",9257.4,9257.4,0.1,,Enabled,"Catalog, Search",None,Straight Router Bits With One Replaceable Mini Knife & Fixing Wedge,Up-Cut Spiral Bit Solid HW D= 4X15X60 Z2 RH,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Straight Router Bits With Insert Knives,0,simple,,,,,,,,,,
admin,base,Router Bits,simple,101,653.662.11,0,Straight Router Bits With Insert Knives,,,,653-662-11,653-662-11.html,Product Info Column,,,Italy,Use config,Use config,,653.662.11,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Chipboard , Hardwood , MDF",PTFE Coated,"CNC Machine , Portable Router",,,16,48.3,,,111,20,RH,"Finishing,  Routing, Plunging, Grooving",11865.9,11865.9,0.15,,Enabled,"Catalog, Search",None,Straight Router Bits With One Replaceable Mini Knife & Fixing Wedge,Up-Cut Spiral Bit Solid HW D= 4X15X60 Z2 RH,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Straight Router Bits With Insert Knives,0,simple,,,,,,,,,,
admin,base,Router Bits,simple,101,653.681.11,0,Straight Router Bits With Insert Knives,,,,653-681-11,653-681-11.html,Product Info Column,,,Italy,Use config,Use config,,653.681.11,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Chipboard , Hardwood , MDF",PTFE Coated,"CNC Machine , Portable Router",,,18,48.3,,,111,20,RH,"Finishing,  Routing, Plunging, Grooving",12376.5,12376.5,0.03,,Enabled,"Catalog, Search",None,Straight Router Bits With One Replaceable Mini Knife & Fixing Wedge,Up-Cut Spiral Bit Solid HW D= 4X15X60 Z2 RH,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Straight Router Bits With Insert Knives,0,simple,,,,,,,,,,
admin,base,Router Bits,simple,101,663.001.11,0,Spoil board Surfacing Router Cutters With Insert Knives,,,,663-001-11,663-001-11.html,Product Info Column,,,Italy,Use config,Use config,,663.001.11,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Hardwood , MDF , Particle Board , Softwood",PTFE Coated,"CNC Machine , Portable Router",,,80,12,,,90,20,RH,Finishing,29703.6,29703.6,0.3,,Enabled,"Catalog, Search",None,1. Super Strength Steel.</br> 2. 2 Cutting Edges [Z2].</br> 3. 2 Scores Knives [V2].,Up-Cut Spiral Bit Solid HW D= 4X15X60 Z2 RH,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Spoil board Surfacing Router Cutters With Insert Knives,0,simple,,,,,,,,,,
admin,base,Router Bits,simple,101,190.080.11,0,Up-Down Cut SC Spiral Bit D8 Z2+2 RH,,,,190-080-11,190-080-11.html,Product Info Column,,,Italy,Use config,Use config,,190.080.11,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Composite , Laminated Panels , Plastic , Solidwood",No Coating,"CNC Machine , Portable Router",,,8,32,,,80,8,RH,"Cutting, Copying, Panel Sizing ",7536.9,7536.9,0.05,,Enabled,"Catalog, Search",None,Up-Down Cut SC Spiral Bit D8X32X80 Z2+2 I1 7 RH,Up-Cut Spiral Bit Solid HW D= 4X15X60 Z2 RH,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Up-Down Cut SC Spiral Bit D8 Z2+2 RH,0,simple,,,,,,,,,,
admin,base,Router Bits,simple,101,190.100.11,0,Up-Down Cut SC Spiral Bit D10 80 Z2+2 RH,,,,190-100-11,190-100-11.html,Product Info Column,,,Italy,Use config,Use config,,190.100.11,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Composite , Laminated Panels , Plastic , Solidwood",No Coating,"CNC Machine , Portable Router",,,10,32,,,80,10,RH,"Cutting, Copying, Panel Sizing",10855.8,10855.8,0.07,,Enabled,"Catalog, Search",None,Up-Down Cut SC Spiral Bit D=10x32x80 Z=2+2 I1 7 RH,Up-Cut Spiral Bit Solid HW D= 4X15X60 Z2 RH,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Up-Down Cut SC Spiral Bit D10 80 Z2+2 RH,0,simple,,,,,,,,,,
admin,base,Router Bits,simple,101,190.120.11,0,Up-Down Cut SC Spiral Bit D12 90 Z2+2 RH,,,,190-120-11,190-120-11.html,Product Info Column,,,Italy,Use config,Use config,,190.120.11,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Composite , Laminated Panels , Plastic , Solidwood",No Coating,"CNC Machine , Portable Router",,,12,42,,,90,12,RH,"Cutting, Copying, Panel Sizing ",15429,15429,0.13,,Enabled,"Catalog, Search",None,Up-Down Cut SC Spiral Bit D=12x42x90 Z=2+2 I1 7 RH,Up-Cut Spiral Bit Solid HW D= 4X15X60 Z2 RH,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Up-Down Cut SC Spiral Bit D12 90 Z2+2 RH,0,simple,,,,,,,,,,
admin,base,Router Bits,simple,101,195.182.11,0,Lockset Spiral Bit Solid HW D18 150 Z3R RH,,,,195-182-11,195-182-11.html,Product Info Column,,,Italy,Use config,Use config,,195.182.11,Steel,Tungsten Carbide,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Composite , Solidwood",No Coating,"CNC Machine , Portable Router",,,18,95,,,150,18,RH,"Ripping, Template Routing, Panel Sizing ",41092.2,41092.2,0.38,,Enabled,"Catalog, Search",None,Lockset Spiral Bit Solid HW D18X45-95X150 Z3R I1 45 RH,Up-Cut Spiral Bit Solid HW D= 4X15X60 Z2 RH,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Lockset Spiral Bit Solid HW D18 150 Z3R RH,0,simple,,,,,,,,,,
