store,websites,attribute_set,type,category_ids,sku,has_options,name,meta_title,meta_description,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,gift_message_available,kitnekaa_product_code,csb_diameter_in_mm,csb_bore_diameter_in_mm,csb_coating,csb_pin_hole,csb_no_of_edges,csb_kerf_thickness,csb_plate_thickness,csb_hook_angle_degrees,csb_types_of_grind,price_currency,manufacturer_product_code,country_of_origin,condition,minimum_order_quantity,minimum_order_unit,brand,tools_construction,tools_tip_material,kitnekaa_manufacturer,seller,csb_material_to_cut,csb_application,price,special_price,weight,msrp,color,status,is_recurring,visibility,tax_class_id,description,short_description,meta_keyword,custom_layout_update,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Circular Saw Blades,simple,90,288.100.20H,0,Conical Scoring Saw Blade 100X20XZ20,,,288-100-20h,288-100-20h.html,,,Product Info Column,,,,Use config,Use config,,2,100,20,No coating,,20,3.1 - 4,2.5,5,CO+5ATB,INR,288.100.20H,Italy,New,1,Piece(s),CMT,Steel,Alloy,CMT Utensili,Total Tools & Equipment (P) Ltd.,"MDF , Plastic Laminated Panels","Crosscutting , Ripping",6060.6,6060.6,0.3,,,Enabled,,"Catalog, Search",None,Conical Scoring Saw Blade 100X3.1-4X20 Z20,Conical Scoring Saw Blade 100X3.1-4X20 Z20,,,9/3/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Conical Scoring Saw Blade 100X20XZ20,0,simple,,
admin,base,Circular Saw Blades,simple,90,288.120.24H,0,Conical Scoring Saw Blade 120X20XZ24,,,288-120-24h,288-120-24h.html,,,Product Info Column,,,,Use config,Use config,,2,120,20,No coating,,24,3.1 - 4,2.5,5,CO+5ATB,INR,288.120.24H,Italy,New,1,Piece(s),CMT,Steel,Alloy,CMT Utensili,Total Tools & Equipment (P) Ltd.,"MDF , Plastic Laminated Panels","Fine Cutoff , Scoring",6604.5,6604.5,0.37,,,Enabled,,"Catalog, Search",None,Conical Scoring Saw Blade 120X3.1-4X20 Z24,Conical Scoring Saw Blade 120X3.1-4X20 Z24,,,9/3/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Conical Scoring Saw Blade 120X20XZ24,0,simple,,
admin,base,Circular Saw Blades,simple,90,288.160.36Q,0,Conical Scoring Saw Blade 160X45XZ36,,,288-160-36q,288-160-36q.html,,,Product Info Column,,,,Use config,Use config,,2,160,45,No coating,3/11/1970,36,4.3 - 5.5,3.2,10,CO+FTG,INR,288.160.36Q,Italy,New,1,Piece(s),CMT,Steel,Alloy,CMT Utensili,Total Tools & Equipment (P) Ltd.,"MDF , Plastic Laminated Panels","Fine Cutoff , Scoring",11954.7,11954.7,0.6,,,Enabled,,"Catalog, Search",None,Conical Scoring Saw Blade 160X4.3-5.5X45 Z36,Conical Scoring Saw Blade 160X4.3-5.5X45 Z36,,,9/3/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Conical Scoring Saw Blade 160X45XZ36,0,simple,,
admin,base,Circular Saw Blades,simple,90,288.180.36M,0,Conical Scoring Saw Blade 180X30XZ36,,,288-180-36m,288-180-36m.html,,,Product Info Column,,,,Use config,Use config,,2,180,30,No coating,,36,4.3 - 5.5,3.2,10,CO+FTG,INR,288.180.36M,Italy,New,1,Piece(s),CMT,Steel,Alloy,CMT Utensili,Total Tools & Equipment (P) Ltd.,"MDF , Plastic Laminated Panels","Fine Cutoff , Scoring",13386.6,13386.6,0.65,,,Enabled,,"Catalog, Search",None,Conical Scoring Saw Blade 180X4.3-5.5X30 Z36,Conical Scoring Saw Blade 180X4.3-5.5X30 Z36,,,9/3/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Conical Scoring Saw Blade 180X30XZ36,0,simple,,
admin,base,Circular Saw Blades,simple,90,288.200.36J,0,Conical Scoring Saw Blade 200X65XZ36,,,288-200-36j,288-200-36j.html,,,Product Info Column,,,,Use config,Use config,,2,200,65,No coating,2/9/100 +2/9/110,36,4.3 - 5.5,3.2,10,CO+FTG,INR,288.200.36J,Italy,New,1,Piece(s),CMT,Steel,Alloy,CMT Utensili,Total Tools & Equipment (P) Ltd.,"MDF , Plastic Laminated Panels","Fine Cutoff , Scoring",13497.6,13497.6,0.8,,,Enabled,,"Catalog, Search",None,Conical Scoring Saw Blade 200X4.3-5.5X65 Z36,Conical Scoring Saw Blade 200X4.3-5.5X65 Z36,,,9/3/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Conical Scoring Saw Blade 200X65XZ36,0,simple,,
admin,base,Circular Saw Blades,simple,90,289.100.20H,0,Flat Adjustable Scoring Blade 100X20XZ20,,,289-100-20h,289-100-20h.html,,,Product Info Column,,,,Use config,Use config,,2,100,20,No coating,2/3.1  3.8/32,10+10,2.8 - 3.6,,15,FLAT,INR,289.100.20H,Italy,New,1,Piece(s),CMT,Steel,Alloy,CMT Utensili,Total Tools & Equipment (P) Ltd.,"MDF , Plastic Laminated Panels","Fine Cutoff , Scoring",10977.9,10977.9,0.24,,,Enabled,,"Catalog, Search",None,Flat Adjustable Scoring Blade 100X2.8-3.6X20 Z20,Flat Adjustable Scoring Blade 100X2.8-3.6X20 Z20,,,9/3/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Flat Adjustable Scoring Blade 100X20XZ20,0,simple,,
admin,base,Circular Saw Blades,simple,90,289.120.24H,0,Flat Adjustable Scoring Blade 120X20XZ24,,,289-120-24h,289-120-24h.html,,,Product Info Column,,,,Use config,Use config,,2,120,20,No coating,2/3.1  3.8/32,12+12,2.8 - 3.6,,15,FLAT,INR,289.120.24H,Italy,New,1,Piece(s),CMT,Steel,Alloy,CMT Utensili,Total Tools & Equipment (P) Ltd.,"MDF , Plastic Laminated Panels","Fine Cutoff , Scoring",11211,11211,0.25,,,Enabled,,"Catalog, Search",None,Flat Adjustable Scoring Blade 120X2.8-3.6X20 Z24,Flat Adjustable Scoring Blade 120X2.8-3.6X20 Z24,,,9/3/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Flat Adjustable Scoring Blade 120X20XZ24,0,simple,,
admin,base,Circular Saw Blades,simple,90,289.120.24K,0,Flat Adjustable Scoring Blade 120X22XZ24,,,289-120-24k,289-120-24k.html,,,Product Info Column,,,,Use config,Use config,,2,120,22,No coating,2/3.1  3.8/32,12+12,2.8 - 3.6,,15,FLAT,INR,289.120.24K,Italy,New,1,Piece(s),CMT,Steel,Alloy,CMT Utensili,Total Tools & Equipment (P) Ltd.,"MDF , Plastic Laminated Panels","Fine Cutoff , Scoring",11211,11211,0.25,,,Enabled,,"Catalog, Search",None,Flat Adjustable Scoring Blade 120X2.8-3.6X22 Z24,Flat Adjustable Scoring Blade 120X2.8-3.6X22 Z24,,,9/3/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Flat Adjustable Scoring Blade 120X22XZ24,0,simple,,
admin,base,Circular Saw Blades,simple,90,294.054.12M,0,Ripping-Crosscut Saw Blade315X30XZ54,,,294-054-12m,294-054-12m.html,,,Product Info Column,,,,Use config,Use config,,2,315,30,No coating,COMBI3,54,3.2,2.2,15,10ATB,INR,294.054.12M,Italy,New,1,Piece(s),CMT,Steel,Alloy,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Hardwood , Plywood , Softwood","Crosscutting , Ripping",8291.7,8291.7,1.4,,,Enabled,,"Catalog, Search",None,Ripping-Crosscut Saw Blade315X3.2X30 Z54 10ATB,Ripping-Crosscut Saw Blade315X3.2X30 Z54 10ATB,,,9/3/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Ripping-Crosscut Saw Blade315X30XZ54,0,simple,,
admin,base,Circular Saw Blades,simple,90,297.064.11M,0,Non-Metal/Laminate Saw Blade 280X30XZ64,,,297-064-11m,297-064-11m.html,,,Product Info Column,,,,Use config,Use config,,2,280,30,No coating,2/10/60 + 2/7/42,64,3.2,2.5,-6,TCG,INR,297.064.11M,Italy,New,1,Piece(s),CMT,Steel,Alloy,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Aluminium , Brass , Copper Alloys , Composite , Laminated Panels , Melamine , Plastic Laminated Panels",,8979.9,8979.9,1.32,,,Enabled,,"Catalog, Search",None,Non-Metal/Laminate Saw Blade280X3.2X30 Z64 HWG,Non-Metal/Laminate Saw Blade280X3.2X30 Z64 HWG,,,9/3/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Non-Metal/Laminate Saw Blade 280X30XZ64,0,simple,,
admin,base,Circular Saw Blades,simple,90,297.096.12M,0,Non-Metal/Laminate Saw Blade 300X30XZ96,,,297-096-12m,297-096-12m.html,,,Product Info Column,,,,Use config,Use config,,2,300,30,No coating,COMBI3,96,3.2,2.5,-6,TCG,INR,297.096.12M,Italy,New,1,Piece(s),CMT,Steel,Alloy,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Aluminium , Brass , Copper Alloys , Composite , Laminated Panels , Melamine , Plastic Laminated Panels",,11322,11322,1.53,,,Enabled,,"Catalog, Search",None,Non-Metal/Laminate Saw Blade 300X3.2X30 Z96 HWG,Non-Metal/Laminate Saw Blade 300X3.2X30 Z96 HWG,,,9/3/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Non-Metal/Laminate Saw Blade 300X30XZ96,0,simple,,
admin,base,Circular Saw Blades,simple,90,297.108.16P,0,Non-Metal/Laminate Saw Blade 400X32XZ108,,,297-108-16p,297-108-16p.html,,,Product Info Column,,,,Use config,Use config,,2,400,32,No coating,4/12/1964,108,3.8,3.2,-6,TCG,INR,297.108.16P,Italy,New,1,Piece(s),CMT,Steel,Alloy,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Aluminium , Brass , Copper Alloys , Composite , Laminated Panels , Melamine , Plastic Laminated Panels",,19547.1,19547.1,2.6,,,Enabled,,"Catalog, Search",None,Non-Metal/Laminate Saw Blade400X3.8X32 Z108 HWG,Non-Metal/Laminate Saw Blade400X3.8X32 Z108 HWG,,,9/3/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Non-Metal/Laminate Saw Blade 400X32XZ108,0,simple,,
admin,base,Circular Saw Blades,simple,90,297.108.18P,0,Non-Metal/Laminate Saw Blade 450X32XZ108,,,297-108-18p,297-108-18p.html,,,Product Info Column,,,,Use config,Use config,,2,450,32,No coating,2/12/1964,108,3.8,3.2,-6,TCG,INR,297.108.18P,Italy,New,1,Piece(s),CMT,Steel,Alloy,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Aluminium , Brass , Copper Alloys , Composite , Laminated Panels , Melamine , Plastic Laminated Panels",,21045.6,21045.6,2.8,,,Enabled,,"Catalog, Search",None,Non-Metal/Laminate Saw Blade450X3.8X32 Z108 HWG,Non-Metal/Laminate Saw Blade450X3.8X32 Z108 HWG,,,9/3/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Non-Metal/Laminate Saw Blade 450X32XZ108,0,simple,,
admin,base,Circular Saw Blades,simple,90,230.524.08M,0,Precision Dado Saw Blade D200X30XZ24,,,230-524-08m,230-524-08m.html,,,Product Info Column,,,,Use config,Use config,,233,200,30,No coating,,24,6.35 - 22.23,6.35 - 22.23,5,FTG+ATB,INR,230.524.08M,Italy,New,1,Piece(s),CMT,Steel,Alloy,CMT Utensili,Total Tools & Equipment (P) Ltd.,"Hardwood , Plywood , Softwood",Grooving,29714.7,29714.7,3.43,,,Enabled,,"Catalog, Search",None,"Precision Dado Saw Blade 8"" D=200x3.2x30 Z=24 FTG+ATB","Precision Dado Saw Blade 8"" D=200x3.2x30 Z=24 FTG+ATB",,,9/3/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Precision Dado Saw Blade D200X30XZ24,0,simple,,
