store,websites,attribute_set,type,category_ids,sku,has_options,name,meta_title,meta_description,thumbnail,url_key,url_path,custom_design,page_layout,options_container,image_label,small_image_label,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,gift_message_available,kitnekaa_product_code,manufacturer_product_code,country_of_origin,condition,brand,kitnekaa_manufacturer,seller,ada_outer_diameter_in_mm,ada_machine,price,special_price,weight,msrp,status,is_recurring,visibility,tax_class_id,ada_rotation,ada_inner_diameter_in_mm,ada_height_in_mm,description,short_description,meta_keyword,custom_layout_update,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,Adaptors,simple,153,360.101.00,0,Adaptor D18 d10,,,,360-101-00,360-101-00.html,,No layout updates,Product Info Column,,, ,Use config,Use config,No,404,360.101.00,,New,CMT,,Total Tools & Equipment (P) Ltd.,18,Vitap,2419.8,2419.8,0.05,,Enabled,No,"Catalog, Search",None,RH/LH,10,40,Adaptor D18 d10 H42,Adaptor D18 d10 H42,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Adaptor D18 d10,0,simple,,
admin,base,Adaptors,simple,153,360.301.00,0,Adaptor D19.4 d10,,,,360-301-00,360-301-00.html,,No layout updates,Product Info Column,,, ,Use config,Use config,No,405,360.301.00,Italy,New,CMT,CMT Utensili,Total Tools & Equipment (P) Ltd.,19.4,Masterwood,3085.8,3085.8,0.05,,Enabled,No,"Catalog, Search",None,RH/LH,10,40,Adaptor D19.4 d10 H40,Adaptor D19.4 d10 H40,,,9/7/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Adaptor D19.4 d10,0,simple,,
