store,websites,attribute_set,type,category_ids,sku,has_options,name,meta_title,meta_description,url_key,url_path,custom_design,page_layout,options_container,country_of_manufacture,msrp_enabled,msrp_display_actual_price_type,gift_message_available,kitnekaa_product_code,price_currency,manufacturer_product_code,condition,minimum_order_quantity,minimum_order_unit,brand,seller,price,special_price,weight,msrp,color,status,is_recurring,visibility,tax_class_id,country_of_origin,kitnekaa_manufacturer,lnk_size,lnk_type,description,short_description,meta_keyword,custom_layout_update,special_from_date,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites
admin,base,LN Key,simple,160,991.061.00,0,LN Key,,,991-061-00,991-061-00.html,,No layout updates,Product Info Column, ,Use config,Use config,No,420,INR,991.061.00,New,1,Piece(s),CMT,Total Tools & Equipment (P) Ltd.,832.5,832.5,0.02,,,Enabled,No,"Catalog, Search",None,Italy,CMT Utensili,T15,Torx,TORX Key T15,TORX Key T15,,,9/14/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,LN Key,0,simple,,
admin,base,LN Key,simple,160,991.063.00,0,LN Key,,,991-063-00,991-063-00.html,,No layout updates,Product Info Column, ,Use config,Use config,No,421,INR,991.063.00,New,1,Piece(s),CMT,Total Tools & Equipment (P) Ltd.,1198.8,1198.8,0.02,,,Enabled,No,"Catalog, Search",None,Italy,CMT Utensili,T8,Torx,TORX Key T8,TORX Key T8,,,9/14/2015 0:00,,,,,,100,0,1,0,0,1,1,1,0,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,LN Key,0,simple,,
