store,websites,attribute_set,type,category_ids,sku,has_options,name,url_key,url_path,options_container,msrp_enabled,msrp_display_actual_price_type,kitnekaa_product_code,price_currency,manufacturer_product_code,country_of_origin,condition,minimum_order_quantity,minimum_order_unit,brand,tools_construction,tools_tip_material,kni_material_to_cut,kni_length_in_mm,kni_height_of_cut_in_mm,kni_thickness_in_mm,kni_angle_in_degrees,kitnekaa_manufacturer,seller,price,special_price,weight,status,visibility,tax_class_id,description,short_description,special_from_date,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,meta_title,meta_description,custom_design,page_layout,country_of_manufacture,gift_message_available,msrp,color,is_recurring,meta_keyword,custom_layout_update,special_to_date,news_from_date,news_to_date,custom_design_from,custom_design_to
admin,base,Knives,simple,99,13828,0,Standard Reversible Knives,13828,13828.html,Product Info Column,Use config,Use config,,INR,13828,Germany,New,10,Piece(s),Tigra,Steel,,"Chipboard , HDF , MDF , Plastic",30,12,1.5,35,Tigra,Total Tools & Equipment (P) Ltd.,,,,Enabled,"Catalog, Search",None,HM-WP 30X12X1.5 a14 T03SMG,HM-WP 30X12X1.5 a14,9/3/2015 0:00,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Standard Reversible Knives,0,simple,,,,,,,,,,,,,,,,,,
admin,base,Knives,simple,99,13834,0,Standard Reversible Knives,13834,13834.html,Product Info Column,Use config,Use config,,INR,13834,Germany,New,10,Piece(s),Tigra,Steel,,"Chipboard , HDF , MDF , Plastic",50,12,1.5,35,Tigra,Total Tools & Equipment (P) Ltd.,,,,Enabled,"Catalog, Search",None,HM-WP 50X12X1.5 a26 T03SMG,HM-WP 50X12X1.5 a26,9/3/2015 0:00,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Standard Reversible Knives,0,simple,,,,,,,,,,,,,,,,,,
admin,base,Knives,simple,99,13847,0,Standard Reversible Knives,13847,13847.html,Product Info Column,Use config,Use config,,INR,13847,Germany,New,10,Piece(s),Tigra,Steel,,"Chipboard , HDF , MDF , Plastic",40,12,1.5,35,Tigra,Total Tools & Equipment (P) Ltd.,,,,Enabled,"Catalog, Search",None,HM-WP 40X12X1.5 a26 T03SMG,HM-WP 40X12X1.5 a26,9/3/2015 0:00,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Standard Reversible Knives,0,simple,,,,,,,,,,,,,,,,,,
admin,base,Knives,simple,99,13850,0,Standard Reversible Knives,13850,13850.html,Product Info Column,Use config,Use config,,INR,13850,Germany,New,10,Piece(s),Tigra,Steel,,"Chipboard , HDF , MDF , Plastic",9.6,12,1.5,35,Tigra,Total Tools & Equipment (P) Ltd.,,,,Enabled,"Catalog, Search",None,HM-WP 9.6X12X1.5 T03SMG,HM-WP 9.6X12X1.5,9/3/2015 0:00,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Standard Reversible Knives,0,simple,,,,,,,,,,,,,,,,,,
admin,base,Knives,simple,99,13866,0,4 Cutting Edges / Special Knives,13866,13866.html,Product Info Column,Use config,Use config,,INR,13866,Germany,New,10,Piece(s),Tigra,Steel,,"Chipboard , HDF , MDF , Plastic",50,12,1.7,,Tigra,Total Tools & Equipment (P) Ltd.,,,,Enabled,"Catalog, Search",None,HM-WP 50X12X1.7 a37 T03SMG,HM-WP 50X12X1.7 a37,9/3/2015 0:00,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,4 Cutting Edges / Special Knives,0,simple,,,,,,,,,,,,,,,,,,
admin,base,Knives,simple,99,13914,0,"Face Groove, Back Groove And Crossgroove",13914,13914.html,Product Info Column,Use config,Use config,,INR,13914,Germany,New,10,Piece(s),Tigra,Steel,,"Chipboard , HDF , MDF , Plastic",30,5.5,1.1,,Tigra,Total Tools & Equipment (P) Ltd.,,,,Enabled,"Catalog, Search",None,HM-WP 29.5X5.5X1.1 T03SMG,HM-WP 29.5X5.5X1.1,9/3/2015 0:00,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,"Face Groove, Back Groove And Crossgroove",0,simple,,,,,,,,,,,,,,,,,,
admin,base,Knives,simple,99,13918,0,"Face Groove, Back Groove And Crossgroove",13918,13918.html,Product Info Column,Use config,Use config,,INR,13918,Germany,New,10,Piece(s),Tigra,Steel,,"Chipboard , HDF , MDF , Plastic",50,5.5,1.1,,Tigra,Total Tools & Equipment (P) Ltd.,,,,Enabled,"Catalog, Search",None,HM-WP 49.5X5.5X1.1 T03SMG,HM-WP 49.5X5.5X1.1,9/3/2015 0:00,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,"Face Groove, Back Groove And Crossgroove",0,simple,,,,,,,,,,,,,,,,,,
admin,base,Knives,simple,99,13937,0,"Systems Leitz, Oertli",13937,13937.html,Product Info Column,Use config,Use config,,INR,13937,Germany,New,10,Piece(s),Tigra,Steel,,"Chipboard , HDF , MDF , Plastic",50,8,1.5,,Tigra,Total Tools & Equipment (P) Ltd.,,,,Enabled,"Catalog, Search",None,HM-WP 50.0X8.0X1.5 T03SMG,HM-WP 50.0X8.0X1.5,9/3/2015 0:00,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,"Systems Leitz, Oertli",0,simple,,,,,,,,,,,,,,,,,,
admin,base,Knives,simple,99,14028,0,Carbide Saw Tips For Circular Saws,14028,14028.html,Product Info Column,Use config,Use config,,INR,14028,Germany,New,10,Piece(s),Tigra,Steel,,"Hardwood , Softwood",8.5,3,2.5,,Tigra,Total Tools & Equipment (P) Ltd.,,,,Enabled,"Catalog, Search",None,HM-WP 14X14X2.0 T03MG-CR,HM-WP 14X14X2.0,9/3/2015 0:00,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Carbide Saw Tips For Circular Saws,0,simple,,,,,,,,,,,,,,,,,,
admin,base,Knives,simple,99,16822,0,4 Cutting Edges / Special Knives,16822,16822.html,Product Info Column,Use config,Use config,,INR,16822,Germany,New,10,Piece(s),Tigra,Steel,,"Chipboard , HDF , MDF , Plastic",28,7,1.5,,Tigra,Total Tools & Equipment (P) Ltd.,,,,Enabled,"Catalog, Search",None,HM-WP 28X7X1.5 a1.5 T03SMG,HM-WP 28X7X1.5 a1.5,9/3/2015 0:00,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,4 Cutting Edges / Special Knives,0,simple,,,,,,,,,,,,,,,,,,
admin,base,Knives,simple,99,33311,0,Profiled Standard Blanks,33311,33311.html,Product Info Column,Use config,Use config,,INR,33311,Germany,New,10,Piece(s),Tigra,Steel,,"Chipboard , Hardwood , MDF , Plastic , Softwood",20,16,2,,Tigra,Total Tools & Equipment (P) Ltd.,,,,Enabled,"Catalog, Search",None,HM-PRBL 20X16X2 d3 T04F,HM-PRBL 20X16X2 d3,9/3/2015 0:00,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Profiled Standard Blanks,0,simple,,,,,,,,,,,,,,,,,,
admin,base,Knives,simple,99,33315,0,Profiled Standard Blanks,33315,33315.html,Product Info Column,Use config,Use config,,INR,33315,Germany,New,10,Piece(s),Tigra,Steel,,"Chipboard , Hardwood , MDF , Plastic , Softwood",20,16,2,,Tigra,Total Tools & Equipment (P) Ltd.,,,,Enabled,"Catalog, Search",None,HM-PRBL 20X16X2 d4 T04F,HM-PRBL 20X16X2 d4,9/3/2015 0:00,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Profiled Standard Blanks,0,simple,,,,,,,,,,,,,,,,,,
admin,base,Knives,simple,99,33907,0,Profiled Standard Blanks,33907,33907.html,Product Info Column,Use config,Use config,,INR,33907,Germany,New,10,Piece(s),Tigra,Steel,,"Chipboard , HDF , MDF , Plastic",16,17.5,2,,Tigra,Total Tools & Equipment (P) Ltd.,,,,Enabled,"Catalog, Search",None,HM-PRBL 16.0X17.5X2 d4.4 T03SMG,HM-PRBL 16.0X17.5X2 d4.4,9/3/2015 0:00,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Profiled Standard Blanks,0,simple,,,,,,,,,,,,,,,,,,
admin,base,Knives,simple,99,33997,0,Profiled Standard Blanks,33997,33997.html,Product Info Column,Use config,Use config,,INR,33997,Germany,New,10,Piece(s),Tigra,Steel,,"Chipboard , HDF , MDF , Plastic",19.6,15.2,2,,Tigra,Total Tools & Equipment (P) Ltd.,,,,Enabled,"Catalog, Search",None,HM-PRBL 19.6X15.2X2 d4 T03SMG,HM-PRBL 19.6X15.2X2 d4,9/3/2015 0:00,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Profiled Standard Blanks,0,simple,,,,,,,,,,,,,,,,,,
admin,base,Knives,simple,99,34000,0,Profiled Standard Blanks,34000,34000.html,Product Info Column,Use config,Use config,,INR,34000,Germany,New,10,Piece(s),Tigra,Steel,,"Chipboard , HDF , MDF , Plastic",19.6,15.2,2,,Tigra,Total Tools & Equipment (P) Ltd.,,,,Enabled,"Catalog, Search",None,HM-PRBL 19.6X15.2X2 d5 T03SMG,HM-PRBL 19.6X15.2X2 d5,9/3/2015 0:00,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Profiled Standard Blanks,0,simple,,,,,,,,,,,,,,,,,,
admin,base,Knives,simple,99,13520,0,4 Cutting Edges / Special Knives,13520,13520.html,Product Info Column,Use config,Use config,,INR,13520,Germany,New,10,Piece(s),Tigra,Steel,,"Chipboard , Hardwood , MDF , Plastic , Softwood",49.5,12,1.5,,Tigra,Total Tools & Equipment (P) Ltd.,,,,Enabled,"Catalog, Search",None,HM-WP 49.5X12X1.5 a26 T04F,HM-WP 49.5X12X1.5 a26,9/3/2015 0:00,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,4 Cutting Edges / Special Knives,0,simple,,,,,,,,,,,,,,,,,,
admin,base,Knives,simple,99,54259,0,Reversible knives,54259,54259.html,Product Info Column,Use config,Use config,,INR,54259,Germany,New,10,Piece(s),Tigra,Steel,,"Chipboard , Hardwood , MDF , Plastic , Softwood",30,12,2.5,35,Tigra,Total Tools & Equipment (P) Ltd.,,,,Enabled,"Catalog, Search",None,HM-WP 30X12X2.5 T04F,HM-WP 30X12X2.5 ,9/3/2015 0:00,100,0,1,0,0,1,1,1,0,1,1,,1,1,0,1,0,1,0,1,0,0,0,1,Reversible knives,0,simple,,,,,,,,,,,,,,,,,,
