"%s days","%s days"
"%s is available for quotation in increments of %s only.","%s is available for quotation in increments of %s only."
"-- Remove Coupon --","-- Remove Coupon --"
"-- Select Coupon --","-- Select Coupon --"
"STATUS_PROPOSAL_BEGIN","Proposal created, not sent"
"STATUS_PROPOSAL_EXPIRED","Proposal expired"
"STATUS_PROPOSAL_SAVED","Proposal on Hold"
"STATUS_REQUEST","Processing"
"STATUS_REQUEST_EXPIRED","Request expired"
"SUBSTATUS_CANCELLED_SUB100","- Out of stock"
"SUBSTATUS_PROPOSAL_SUB100","- Proposal created by Salesrep"
"SUBSTATUS_PROPOSAL_SUB200","- Contact Customer by Salesrep"
"SUBSTATUS_PROPOSAL_SUB300","- Payment Pending"
"SUBSTATUS_REJECTED_SUB100","- Send new quote to customer"
"SUBSTATUS_SAVED_SUB100","- Quote is on hold"
"SUBSTATUS_SAVED_SUB200","- Waiting on Supplier"
"Save Quote","Save Quote"
"Select Qty","Select Qty"
"Select one Qty per product. (When editing this product you will be able to re-enter the extra tiers in this screen.)","Select one Qty per product. (When editing this product you will be able to re-enter the extra tiers in this screen.)"
"Set Follow Up date","Set Follow Up date"
"Shipping & Handling price per Item","Shipping & Handling price per Item"
"Shipping & Handling price varies.","Shipping & Handling price varies."
"Shipping Address","Shipping Address"
"Shipping Method","Shipping Method"
"Shipping details","Shipping details"
"Sku","SKU"
"State/Province","State/Province"
"Status","Status"
"Submit Quote","Submit Proposal"
"Subtotal","Subtotal"
"Subtotal Original (%s)","Subtotal Original (%s)"
"Tax","Tax"
"Telephone","Telephone"
"Thank you for your interest!","Thank you for your interest!"
"The Cart2Quote template files are disabled.","The Cart2Quote template files are disabled."
"The following item will not be added to the quotation list if you continue:","The following item(s) will not be added to the quotation list if you continue:"
"This item will be removed from the list if you continue:","The following item(s) will be removed from the list if you continue:"
"This order list contains items that cannot quoted.","This shopping Cart contains items that cannot be Quoted."
"This quote list contains items that cannot ordered.","This quote list contains items that cannot ordered."
"Tier/Qty","Tier/Qty"
"Title","Title"
"To add item to the Quote mode <a href='%s'>log out</a> from Quote confirmation mode.","To add an item to Quote Request <a href='%s'>log out</a> from Quote Confirmation mode."
"Unable to find item to save","Unable to find item to save"
"Unit price","Unit price"
"Url","Url"
"View","View"
"View Quote","View Quotation"
"You're welcome to place a new Request for Quote","You're welcome to place a new Request"
"You are in a quote confirmation mode, <a href='%s'>log out</a>.","You are in Quote Confirmation mode, <a href='%s'>log out</a>."
"You are in a quote edit mode, <a href='%s'>log out</a>.","You are in Quote Edit mode, <a href='%s'>log out</a>."
"You have placed no quotes.","You have placed no Quote Requests yet."
"You log out successfully from Quote confirmation mode.","You are logged out successfully from the Quote Confirmation mode."
"Your quote request # is: %s.","Your quote request # is: %s."
"Your quote request has been received","Your Quote Request has been received"
"You will receive a quote confirmation email with a link to track progress.","You will receive a Quote Request confirmation email with a link to track progress."
"Zip/Postal Code","Zip/Postal Code"
"in process...","in process..."
